START TRANSACTION;
auto commit mode: off
select
	p_brand,
	p_type,
	p_size,
	count(distinct ps_suppkey) as supplier_cnt
from
	partsupp,
	part
where
	p_partkey = ps_partkey
	and p_brand <> 'Brand#31'
	and p_type not like 'LARGE POLISHED%'
	and p_size in (43, 33, 46, 18, 9, 32, 29, 48)
	and ps_suppkey not in (
		select
			s_suppkey
		from
			supplier
		where
			s_comment like '%Customer%Complaints%'
	)
group by
	p_brand,
	p_type,
	p_size
order by
	supplier_cnt desc,
	p_brand,
	p_type,
	p_size;
+------------+---------------------------+--------+--------------+
| p_brand    | p_type                    | p_size | supplier_cnt |
+============+===========================+========+==============+
| Brand#41   | LARGE BURNISHED BRASS     |     33 |          588 |
| Brand#12   | ECONOMY BURNISHED STEEL   |     33 |          584 |
| Brand#44   | SMALL POLISHED NICKEL     |     48 |          584 |
| Brand#15   | ECONOMY ANODIZED NICKEL   |     48 |          580 |
| Brand#25   | PROMO POLISHED COPPER     |     18 |          580 |
| Brand#33   | PROMO PLATED BRASS        |     29 |          580 |
| Brand#25   | PROMO BURNISHED NICKEL    |     33 |          579 |
| Brand#12   | STANDARD BRUSHED TIN      |      9 |          576 |
| Brand#54   | LARGE PLATED STEEL        |      9 |          574 |
| Brand#13   | SMALL BURNISHED COPPER    |     33 |          572 |
| Brand#44   | STANDARD BURNISHED BRASS  |     18 |          572 |
| Brand#22   | STANDARD PLATED NICKEL    |     29 |          568 |
| Brand#22   | LARGE ANODIZED BRASS      |     29 |          565 |
| Brand#32   | MEDIUM ANODIZED NICKEL    |     32 |          564 |
| Brand#35   | LARGE PLATED NICKEL       |      9 |          564 |
| Brand#41   | LARGE BURNISHED NICKEL    |     48 |          564 |
| Brand#11   | LARGE ANODIZED STEEL      |      9 |          563 |
| Brand#25   | LARGE ANODIZED STEEL      |     46 |          563 |
| Brand#45   | ECONOMY BURNISHED BRASS   |     32 |          563 |
| Brand#21   | SMALL BRUSHED COPPER      |     18 |          560 |
| Brand#23   | ECONOMY BURNISHED TIN     |      9 |          560 |
| Brand#23   | PROMO ANODIZED BRASS      |     32 |          560 |
| Brand#34   | STANDARD ANODIZED TIN     |     32 |          560 |
| Brand#43   | MEDIUM PLATED BRASS       |     32 |          560 |
| Brand#44   | LARGE BRUSHED BRASS       |     18 |          560 |
| Brand#55   | SMALL BURNISHED BRASS     |      9 |          560 |
| Brand#15   | MEDIUM PLATED BRASS       |     32 |          558 |
| Brand#12   | SMALL POLISHED STEEL      |     46 |          556 |
| Brand#22   | STANDARD ANODIZED TIN     |     43 |          556 |
| Brand#23   | MEDIUM BRUSHED COPPER     |     29 |          556 |
| Brand#25   | STANDARD ANODIZED BRASS   |     43 |          556 |
| Brand#32   | MEDIUM POLISHED BRASS     |     48 |          556 |
| Brand#35   | SMALL POLISHED NICKEL     |     48 |          556 |
| Brand#54   | ECONOMY PLATED COPPER     |     18 |          556 |
