START TRANSACTION;
auto commit mode: off
select
	s_acctbal,
	s_name,
	n_name,
	p_partkey,
	p_mfgr,
	s_address,
	s_phone,
	s_comment
from
	part,
	supplier,
	partsupp,
	nation,
	region
where
	p_partkey = ps_partkey
	and s_suppkey = ps_suppkey
	and p_size = 5
	and p_type like '%TIN'
	and s_nationkey = n_nationkey
	and n_regionkey = r_regionkey
	and r_name = 'MIDDLE EAST'
	and ps_supplycost = (
		select
			min(ps_supplycost)
		from
			partsupp,
			supplier,
			nation,
			region
		where
			p_partkey = ps_partkey
			and s_suppkey = ps_suppkey
			and s_nationkey = n_nationkey
+-------------------+---------------------------+---------------------------+-----------+---------------------------+------------------------------------------+-----------------+----------------------------------------------------------------------------------------------------+
| s_acctbal         | s_name                    | n_name                    | p_partkey | p_mfgr                    | s_address                                | s_phone         | s_comment                                                                                          |
+===================+===========================+===========================+===========+===========================+==========================================+=================+====================================================================================================+
|           9999.90 | Supplier#000767720        | JORDAN                    |   8767719 | Manufacturer#4            | PLb8mveX8,QEY,4g MnUaoBpizc              | 23-874-136-4884 | sleep regular packages. deposits beneath the quickly express                                       |
|           9999.72 | Supplier#000009450        | IRAN                      |  14759435 | Manufacturer#1            | 0d zNrvhTpg                              | 20-729-897-5564 | totes. bold, blithe packages nag against the slyly regular instructions. bold,                     |
|           9999.38 | Supplier#000960579        | EGYPT                     |  10710568 | Manufacturer#1            | aB3j4kellD                               | 14-355-600-9214 | along the blithely unusual deposit                                                                 |
|           9999.21 | Supplier#000081559        | IRAQ                      |   4831554 | Manufacturer#3            | YplAwJxhoHNeIyqDv3kgzv x2dymRYx          | 21-345-604-7861 | bold packages cajole blithely pinto beans. carefully special                                       |
|           9999.18 | Supplier#000697011        | IRAQ                      |  16697010 | Manufacturer#4            | NApt8yWeGwaqLtUpCyjQ0YjCud3QDARkr35,SXX  | 21-961-197-9510 | thely regular theodolites. quickly spe                                                             |
|           9998.93 | Supplier#000151938        | IRAN                      |   4151937 | Manufacturer#1            | R2UlstBmSTKS9ggHQ9g29S                   | 20-245-827-7647 |  bold dolphins detect blithely across the furiously ironic accounts. furious pains are furiousl    |
|           9998.93 | Supplier#000151938        | IRAN                      |  11151937 | Manufacturer#2            | R2UlstBmSTKS9ggHQ9g29S                   | 20-245-827-7647 |  bold dolphins detect blithely across the furiously ironic accounts. furious pains are furiousl    |
|           9998.84 | Supplier#000558492        | SAUDI ARABIA              |  10558491 | Manufacturer#5            | 7w5z8wsMUQO2                             | 30-851-981-7602 | ly ironic epitaphs. accounts dazzle. express, bold platelets are carefully. careful                |
|           9998.79 | Supplier#000246882        | IRAN                      |   1746879 | Manufacturer#2            | Pd9dBNt9K5EVCuw1xl4aZufJT                | 20-138-878-8761 | deposits cajole across the slyly final theodolites. blit                                           |
|           9998.79 | Supplier#000246882        | IRAN                      |  14496839 | Manufacturer#4            | Pd9dBNt9K5EVCuw1xl4aZufJT                | 20-138-878-8761 | deposits cajole across the slyly final theodolites. blit                                           |
|           9998.19 | Supplier#000720707        | IRAQ                      |  16220674 | Manufacturer#3            | zFCojOMkoBxjwTYNV G1kt4HqEyH             | 21-835-177-5339 | unusual instructions wake quickly carefully fina                                                   |
|           9997.53 | Supplier#000937565        | SAUDI ARABIA              |   9937564 | Manufacturer#4            | JjCqOWSD8i 5NAqUwf4                      | 30-555-279-3569 | ording to the carefully regular theodo                                                             |
|           9997.35 | Supplier#000031340        | IRAN                      |     31339 | Manufacturer#5            | OXcLAf,LolJ HDq                          | 20-432-827-9234 | even foxes cajole against the blithely                                                             |
|           9997.01 | Supplier#000190620        | IRAN                      |  10940609 | Manufacturer#1            | Vne9V2MAtcvqIDJiv5J43OlzyrsfM            | 20-952-780-7347 | es serve furiously blithely express ideas: fluffily ironic accounts above the carefully sp         |
|           9997.01 | Supplier#000185264        | JORDAN                    |  13435224 | Manufacturer#3            | MLPKKxNM8T,C8b9WwV5b7Rn9Zbx              | 23-588-450-2744 | ly. fluffily final accounts unwind. silent accounts a                                              |
|           9996.90 | Supplier#000908079        | IRAQ                      |  17158027 | Manufacturer#3            | WikW rcPelqGBHAU2gx 4b XnZMh,xVfm        | 21-317-239-9344 | cies haggle among the carefully r                                                                  |
|           9996.32 | Supplier#000755076        | JORDAN                    |   6005057 | Manufacturer#1            | 1hq34lvBBrQQE5RGpPJ6qNY2MbG,K            | 23-995-177-9419 | egular theodolites sublate quickly idle asymptotes. final accounts solve. blith                    |
|           9996.32 | Supplier#000755076        | JORDAN                    |   7255061 | Manufacturer#1            | 1hq34lvBBrQQE5RGpPJ6qNY2MbG,K            | 23-995-177-9419 | egular theodolites sublate quickly idle asymptotes. final accounts solve. blith                    |
|           9996.32 | Supplier#000755076        | JORDAN                    |   8755075 | Manufacturer#1            | 1hq34lvBBrQQE5RGpPJ6qNY2MbG,K            | 23-995-177-9419 | egular theodolites sublate quickly idle asymptotes. final accounts solve. blith                    |
|           9995.71 | Supplier#000139596        | IRAQ                      |   6139595 | Manufacturer#4            | EfJyVv9buPgkC1wSLOW7                     | 21-798-158-9528 | carefully. furiously express courts are slyl                                                       |
|           9995.71 | Supplier#000139596        | IRAQ                      |  18889577 | Manufacturer#4            | EfJyVv9buPgkC1wSLOW7                     | 21-798-158-9528 | carefully. furiously express courts are slyl                                                       |
|           9995.37 | Supplier#000691805        | IRAQ                      |  16441788 | Manufacturer#4            | ho,IDCDXu5ru85282E                       | 21-780-564-6101 | uses wake slyly among the hockey players. express ideas until the special acc                      |
|           9994.79 | Supplier#000696220        | EGYPT                     |   8446211 | Manufacturer#5            | p4ZHik MvvdV                             | 14-358-293-5886 | sly even excuses wake ironically. even pinto beans near the even deposits boost fluffily accor     |
|           9994.53 | Supplier#000021480        | EGYPT                     |  17021479 | Manufacturer#3            | peaej4D5vGn8rZLUII6pX3IfNmA 2VcDalUl     | 14-865-645-9658 | ts. slyly even foxes integrate                                                                     |
|           9994.19 | Supplier#000125366        | EGYPT                     |  12625341 | Manufacturer#5            | pt5FKqGB,kDwf6bzTXik                     | 14-932-846-3542 | ully furiously final pinto beans. regular ideas use blithely slyly pendi                           |
|           9994.12 | Supplier#000620240        | JORDAN                    |  10870209 | Manufacturer#1            | cRwbnAQPugMyu5fdaTnCqEZsKB5E7zV2WRG2 S   | 23-358-238-7959 | evenly regular deposits. furiously express ideas nag                                               |
|           9993.98 | Supplier#000044588        | IRAN                      |    544587 | Manufacturer#1            | 6ngm52IsynVhNvng3WcsklhC5q               | 20-744-248-3365 | l gifts. regular, final depos                                                                      |
|           9993.98 | Supplier#000044588        | IRAN                      |  16544555 | Manufacturer#1            | 6ngm52IsynVhNvng3WcsklhC5q               | 20-744-248-3365 | l gifts. regular, final depos                                                                      |
|           9993.83 | Supplier#000576916        | EGYPT                     |   3076909 | Manufacturer#2            | EqOunSMngq                               | 14-185-493-7685 | . pinto beans haggle carefully even deposits                                                       |
|           9993.74 | Supplier#000816921        | JORDAN                    |  15816920 | Manufacturer#4            | uelAZoAaEYOXsq5UXvDAmzHu                 | 23-441-744-3173 | riously even accounts among the ironic packages print blithely alongs                              |
|           9992.94 | Supplier#000562788        | SAUDI ARABIA              |   2562787 | Manufacturer#5            | eEQKWxfpLfQXQPI1tT3ghfauGXbHiY1PN        | 30-530-356-7510 | ctions wake along the quickly pending deposits.                                                    |
|           9991.98 | Supplier#000342052        | SAUDI ARABIA              |  14092037 | Manufacturer#3            | wNMLzhP1zuKn3N0                          | 30-267-310-7412 | s boost blithely according to the regular deposits. theodolites according to the accoun            |
|           9991.88 | Supplier#000511122        | SAUDI ARABIA              |  12261109 | Manufacturer#3            | avMhEb9FqVgseMJqas71RLJP8q0p fv8TytdZV2N | 30-866-505-9189 | furiously ironic packages use blithely                                                             |
|           9991.67 | Supplier#000044257        | EGYPT                     |   5044256 | Manufacturer#2            | j1EpaDRhzjUzsAlrOhKsPGjH3ZDkADsZff       | 14-247-888-5033 | accounts: furiously ironic deposits wake quickl                                                    |
|           9991.38 | Supplier#000658294        | IRAN                      |  14158265 | Manufacturer#1            | h3Z57CL9FLjNWDdhPjHT4a08XwoixpgEsy       | 20-567-970-2038 | uriously silent accounts wake fluffily packages. fluffily special packages                         |
|           9991.36 | Supplier#000072616        | SAUDI ARABIA              |    322615 | Manufacturer#4            | b56dOtMSSOOtrnlC HIW,P                   | 30-646-184-3474 | packages wake. blithely final accounts                                                             |
|           9991.36 | Supplier#000072616        | SAUDI ARABIA              |  17072615 | Manufacturer#3            | b56dOtMSSOOtrnlC HIW,P                   | 30-646-184-3474 | packages wake. blithely final accounts                                                             |
|           9991.11 | Supplier#000526321        | IRAN                      |   1526320 | Manufacturer#2            | fzyUMVngwYfWQGxFuju0Zxjd                 | 20-392-659-3198 | ly ironic asymptotes about the ironic deposits doubt about the quickly                             |
